,molecule_chembl_id,IC50,units,smiles,pIC50
604,CHEMBL230178,18.0,nM,Cc1ccc(NC(=O)c2ccc(N=NN(C)C)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.7447274948966935
605,CHEMBL2178271,18.7,nM,Cc1ccc(C(=O)Nc2ccc(CN3C[C@@H]4CN(C)C[C@@H]4C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,7.7281583934635005
606,CHEMBL1172720,19.0,nM,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,7.721246399047171
607,CHEMBL3963812,19.0,nM,N#Cc1cc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CCCC2)[nH]n1,7.721246399047171
608,CHEMBL3347452,19.0,nM,COC(=O)c1cc2cc(NCc3ccccc3C)cnc2[nH]1,7.721246399047171
609,CHEMBL1173200,19.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1CCc1cnc2cccnn12,7.721246399047171
610,CHEMBL3908521,19.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(OCCN2CCCC2)c(-c2cncnc2)c1,7.721246399047171
611,CHEMBL1171479,19.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2c1,7.721246399047171
612,CHEMBL4111760,19.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncc(C(F)(F)F)c2)c1,7.721246399047171
613,CHEMBL1171044,19.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.721246399047171
614,CHEMBL451790,19.5,nM,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CCCC3)nc21,7.709965388637482
615,CHEMBL3806189,20.0,nM,CN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3F)cc2C(F)(F)F)CC1,7.698970004336019
616,CHEMBL211508,20.0,nM,COc1ccccc1Oc1ccc2[nH]nc(-c3nc4cc(N5CCC(N6CCCCC6)CC5)ccc4[nH]3)c2c1,7.698970004336019
617,CHEMBL4062453,20.0,nM,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,7.698970004336019
618,CHEMBL3965050,20.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cc(-c2cncnc2)ccc1F,7.698970004336019
